organismo,cantidad_pedidos,estado
Ministerio de Turismo y Deporte,3,rechazado
Ministerio de Turismo y Deporte,2,revision_interna
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,1,no_retenido
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,2,exitoso
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,1,parcialmente_exitoso
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,5,rechazado
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,1,revision_interna
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,7,esperando_respuesta
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,1,terminado_por_usuario
Ministerio del Interior,6,esperando_respuesta
Ministerio del Interior,1,rechazado
Ministerio del Interior,9,revision_interna
Ministerio del Interior,1,parcialmente_exitoso
Ministerio del Interior,1,exitoso
Museo Nacional de Artes Visuales,0,
Obras Sanitarias del Estado,1,terminado_por_usuario
Obras Sanitarias del Estado,1,esperando_respuesta
Obras Sanitarias del Estado,1,rechazado
Obras Sanitarias del Estado,1,exitoso
Oficina Nacional del Servicio Civil,3,rechazado
Oficina Nacional del Servicio Civil,2,no_retenido
Oficina de Planeamiento y Presupuesto,1,
Oficina de Planeamiento y Presupuesto,1,revision_interna
Oficina de Planeamiento y Presupuesto,1,rechazado
Oficina de Planeamiento y Presupuesto,1,parcialmente_exitoso
Pluna Ente Autonomo,1,por_correo
Presidencia,1,terminado_por_usuario
Presidencia,2,rechazado
Presidencia,2,revision_interna
Presidencia,1,parcialmente_exitoso
Presidencia,2,exitoso
SODRE,1,rechazado
Sanidad Policial,0,
Servicio de Retiros y Pensiones de las Fuerzas Armadas,0,
Suprema Corte de Justicia,1,esperando_respuesta
Television Nacional del Uruguay,1,rechazado
Tribunal contencioso administrativo,0,
Tribunal de Cuentas,1,rechazado
Unidad Nacional de Seguridad Vial,1,esperando_respuesta
Unidad Nacional de Seguridad Vial,1,exitoso
Unidad Reguladora de Energia y Agua,1,revision_interna
Unidad Reguladora de Servicios de Comunicaciones,1,exitoso
Unidad Reguladora de Servicios de Comunicaciones,1,revision_interna
Unidad Reguladora y de Control de Datos Personales,0,
Unidad de Acceso a la Información Pública,1,no_retenido
Unidad de Acceso a la Información Pública,3,exitoso
Zona Francas,0,
